Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain(s),Memorial Lesson Leader,Book,Edition Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered,Series Code,Event ID,Previous Event ID,Status
5,1,session,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,,,,,,,,,,2026-08-28T15:01:05.000Z,3:01 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,2,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,John Plunkett,,31b,Webster,,"Called the class to order, welcoming everyone. Prayer offered by Oscar McGuire.",,2026-08-28T15:01:51.000Z,3:01 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,3,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,John Plunkett,,30t,Rochester,,,,2026-08-28T15:03:12.000Z,3:03 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,4,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Russell Hanson,,61,Sweet Rivers,,,,2026-08-28T15:04:24.000Z,3:04 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,5,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Russell Hanson,,72b,Bellevue,,,,2026-08-28T15:05:18.000Z,3:05 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,6,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Shawn Taylor,,55t,Paris,,,,2026-08-28T15:06:05.000Z,3:06 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,7,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Shawn Taylor,,55b,Vernon,,,,2026-08-28T15:07:36.000Z,3:07 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,8,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Malinda Snow,,288,White,,,,2026-08-28T15:08:57.000Z,3:08 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,9,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Malinda Snow,,348,Be Joyful In God,,,,2026-08-28T15:09:58.000Z,3:09 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,10,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Helen Bryson,,490b,All-Saints,,,,2026-08-28T15:11:21.000Z,3:11 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,11,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Helen Bryson,,227,Ode On Life's Journey,,,,2026-08-28T15:12:41.000Z,3:12 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,12,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Oscar McGuire,,171,Exhortation,,,,2026-08-28T15:14:04.000Z,3:14 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,13,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Oscar McGuire,,177,Raymond,,,,2026-08-28T15:14:55.000Z,3:14 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,14,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Bill DuPre,,82t,Bound For Canaan,,,,2026-08-28T15:16:04.000Z,3:16 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,15,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Bill DuPre,,73t,Cusseta,,,,2026-08-28T15:16:54.000Z,3:16 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
5,16,song,,bfw2024a,,,B.F. White Memorial Sacred Harp Singing,2024-09-15,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Debora Grosse,,72t,The Weary Souls,,,,2026-08-28T15:18:09.000Z,3:18 PM,k3j9m2p7,k3j9m2p7-2024-09-15,k3j9m2p7-2023-09-17,
