Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain(s),Memorial Lesson Leader,Book,Edition Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered,Series Code,Event ID,Previous Event ID,Status
5,1,session,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,,,,,,,,,,2026-08-28T15:00:47.000Z,3:00 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,2,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,John Plunkett,,73b,Arlington,,"Called the class to order, welcoming everyone. Opening prayer offered by Henry Johnson.",,2026-08-28T15:01:50.000Z,3:01 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,3,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,John Plunkett,,77b,Talbotton,,,,2026-08-28T15:02:46.000Z,3:02 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,4,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Russell Hanson,,61,Sweet Rivers,,,,2026-08-28T15:04:11.000Z,3:04 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,5,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Russell Hanson,,72b,Bellevue,,,,2026-08-28T15:05:06.000Z,3:05 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,6,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Sandra Wilkinson,,316,Carmarthen,,,,2026-08-28T15:06:13.000Z,3:06 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,7,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Sandra Wilkinson,,70b,Evening,,,,2026-08-28T15:07:01.000Z,3:07 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,8,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Kelly Morris and Bill Levisay,,49b,Mear,,,,2026-08-28T15:08:22.000Z,3:08 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,9,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Kelly Morris and Bill Levisay,,159,Wondrous Love,,,,2026-08-28T15:09:01.000Z,3:09 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
5,10,song,,bfw2017a,,,The Original B.F. White Sacred Harp Singing Convention (1911 J.L. White Revision),2017-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Henry Johnson,,32b,Peterborough,,,,2026-08-28T15:10:30.000Z,3:10 PM,k3j9m2p7,k3j9m2p7-2017-09-17,,
