Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain(s),Memorial Lesson Leader,Book,Edition Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered,Series Code,Event ID,Previous Event ID,Status
5,1,session,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,,,,,,,,,,2026-08-28T15:00:32.000Z,3:00 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,2,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,SHM1991,SHM1991,Marla Elliott,,46,Let Us Sing,,The 4th annual Christmas Harp All-Day Singing. Called to order. Opening prayer offered by Karen Willard.,,2026-08-28T15:01:20.000Z,3:01 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,3,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Kate Fortin,,63,Portuguese Hymn,,,,2026-08-28T15:02:01.000Z,3:02 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,4,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Karen Willard,,9,Beach Spring,,,,2026-08-28T15:02:41.000Z,3:02 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,5,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Miranda Elliott Rader,,90,Star In The East,,,,2026-08-28T15:03:33.000Z,3:03 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,6,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Colette LaViollette,,3,Dayspring,,,,2026-08-28T15:04:06.000Z,3:04 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,7,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,SHM1991,SHM1991,Ben MacSpadden,,339,When I Am Gone,,,,2026-08-28T15:04:30.000Z,3:04 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,8,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Ana Tighe,,82,The Shepherd's Star,,,,2026-08-28T15:05:22.000Z,3:05 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,9,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Bob Schinske,,4,Redemption Minor,,,,2026-08-28T15:06:11.000Z,3:06 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,10,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Matthew MacLellan,,116,Rapturous Scene,,,,2026-08-28T15:07:05.000Z,3:07 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,11,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,SHM1991,SHM1991,Jean Squires,,106,Ecstasy,,,,2026-08-28T15:07:32.000Z,3:07 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,12,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Lu Zeng,,85,Cookham,,,,2026-08-28T15:08:07.000Z,3:08 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,13,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Cornelia Stanton,,113,Raymond,,,,2026-08-28T15:09:05.000Z,3:09 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,14,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Kate Coxon,,39,Lenox,,,,2026-08-28T15:09:50.000Z,3:09 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,15,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Bill Huot and Marla Elliott,,48,Shiloh,,,,2026-08-28T15:10:43.000Z,3:10 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
5,16,song,,xmas2017a,,,Christmas Harp Singing,2017-12-30,"The Evergreen State College, Olympia, Washington",Marla Elliott,,Jenna Lavaud and Joli Sandoz,,,Karen Willard,,ACH2009,ACH2009,Nancy Novotny,,24,Hiding Place,,,,2026-08-28T15:11:18.000Z,3:11 PM,q7x2v9k4,q7x2v9k4-2017-12-30,q7x2v9k4-2015-12-27,
