Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain(s),Memorial Lesson Leader,Book,Edition Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered,Series Code,Event ID,Previous Event ID,Status
5,1,session,"Thursday, June 15",skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,,,,,,,,,,2026-07-20T16:34:30.782Z,4:34 PM,,,,
5,2,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,Buell Cobb,,31b,Webster,,Called the class to order; Tom Owen led the morning prayer,,2026-07-20T16:34:30.800Z,4:34 PM,,,,
5,3,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,Mark Davis,,61,Sweet Rivers,,,,2026-07-20T16:34:30.820Z,4:34 PM,,,,
5,4,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,Kathy Williams,,539,Supplication,,,,2026-07-20T16:34:30.839Z,4:34 PM,,,,
5,5,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,Mike Hinton,,373,Homeward Bound,,,,2026-07-20T16:34:30.863Z,4:34 PM,,,,
5,6,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,John Redman,,236,Easter Anthem,,,,2026-07-20T16:34:30.885Z,4:34 PM,,,,
5,7,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,Don Bowen,,99,Gospel Trumpet,,,,2026-07-20T16:34:30.904Z,4:34 PM,,,,
5,8,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,Henry Guthery,,39b,Sharpsburg,,,,2026-07-20T16:34:30.928Z,4:34 PM,,,,
5,9,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,Latisha Crocker,,490,My Shepherd Guides,,,,2026-07-20T16:34:30.959Z,4:34 PM,,,,
5,10,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM1991,J.L. Hopper,,198,Green Street,,,,2026-07-20T16:34:30.996Z,4:34 PM,,,,
